總價(萬元),占比乗面積,building,屋齡,樓別/樓高,管理組織,電梯,主要用途,region,衛,廳,房
703,22.49,House,48,全/二層,無,無,住家用,North District,2,2,2
772.8,13.571604,condominium,1,四層/四層,有,有,住家用,North District,2,1,2
760,13.09176,condominium,1,二層/四層,有,有,住家用,North District,2,1,2
780,57.13,House,39,全/四層,無,無,住家用,North District,1,2,5
770,19.855624,high-rise  apartment  (building),23,十一層/十四層,有,有,住家用,North District,2,2,3
2338,53.49,House,2,全/四層,有,無,住家用,North District,2,4,5
618,15.386314,high-rise  apartment  (building),16,三層/十九層,有,有,住家用,North District,2,1,2
750,20.092086,condominium,31,四層/八層,有,有,住家用,North District,2,2,3
830,14.99541,high-rise  apartment  (building),7,六層/十四層,有,有,住家用,North District,1,1,2
800,25.372648,high-rise  apartment  (building),29,五層/二十五層,有,有,住家用,North District,2,2,3
870,23.547293,condominium,29,六層/八層,有,有,住家用,North District,2,2,3
855,19.246584,high-rise  apartment  (building),8,十層/二十四層,有,有,住家用,North District,1,1,2
2333,31.923738,high-rise  apartment  (building),1,二層/十五層,有,有,住家用,North District,2,2,4
285,8.718095,high-rise  apartment  (building),41,四層/十二層,有,有,商業用,North District,1,1,1
3800,62.412561,high-rise  apartment  (building),6,二十二層/二十四層,有,有,住家用,North District,2,3,4
1320,40.34,House,44,全/三層,無,無,,North District,1,6,6
750,17.051918,high-rise  apartment  (building),13,七層/十三層,有,有,住家用,North District,1,1,1
785,14.638212,high-rise  apartment  (building),8,十九層/二十四層,有,有,住家用,North District,2,1,2
538,25.62,House,50,全/二層,無,無,住家用,North District,2,1,4
1880,27.817363,high-rise  apartment  (building),1,十二層/十四層,有,有,住家用,North District,2,2,2
750,14.56752,high-rise  apartment  (building),8,五層/二十四層,有,有,住家用,North District,1,1,2
2784,62.615336,high-rise  apartment  (building),15,十層/十四層,有,有,住家用,North District,2,3,4
1050,24.979136,condominium,27,三層/九層,有,有,住家用,North District,2,2,3
1350,45.729486,high-rise  apartment  (building),24,"十三層,十四層/十四層",有,有,住家用,North District,2,3,5
250,7.727148,condominium,35,七層/十層,有,有,住家用,North District,1,1,1
2900,85.21,House,30,全/三層,無,無,住商用,North District,3,4,9
400,28.82,House,47,全/四層,無,無,住家用,North District,1,5,6
530,39.88,House,42,全/三層,無,無,住家用,North District,1,3,4
710,14.47013,high-rise  apartment  (building),8,二十一層/二十四層,有,有,住家用,North District,1,1,2
660,21.22,House,1,全/一層,無,無,住家用,North District,2,3,4
1366,23.833551,condominium,1,五層/五層,有,有,住家用,North District,2,2,3
1160,30.608217,high-rise  apartment  (building),21,八層/十四層,有,有,住家用,North District,2,2,3
850,19.673056,condominium,18,四層/十層,有,有,住家用,North District,2,1,2
317,18.103728,Apartment,42,四層/五層,無,無,住家用,North District,2,1,3
590,23.629536,Apartment,42,二層/五層,無,無,住家用,North District,1,2,2
1010,25.8597,high-rise  apartment  (building),21,四層/十三層,有,有,住家用,North District,2,2,3
780,24.16,House,45,全/二層,無,無,住家用,North District,2,2,3
430,21.490838,Apartment,42,三層/五層,無,無,住家用,North District,2,1,3
1158,26.709338,high-rise  apartment  (building),21,十一層/十四層,有,有,住家用,North District,2,2,3
650,39.72,House,40,全/三層,無,無,住商用,North District,2,3,3
2088,30.574534,high-rise  apartment  (building),4,十九層/二十四層,有,有,住家用,North District,2,2,2
810,20.150603,condominium,1,四層/四層,有,有,住家用,North District,2,1,2
120,6.95454,high-rise  apartment  (building),39,十一層/十四層,有,有,住家用,North District,1,1,1
1396,30.608217,high-rise  apartment  (building),20,十四層/十四層,有,有,住家用,North District,2,2,3
690,21.14018,high-rise  apartment  (building),29,四層/十八層,有,有,住家用,North District,2,2,2
390,20.326857,condominium,42,五層/六層,有,有,住家用,North District,2,1,2
173,4.5684,condominium,34,二層/五層,無,有,住家用,North District,1,1,1
615,15.664599,high-rise  apartment  (building),28,八層/十八層,有,有,住家用,North District,2,1,2
1260,42.82,House,45,全/三層,無,無,,North District,2,4,5
370,20.160075,Apartment,42,五層/五層,無,無,住家用,North District,1,1,3
250,6.7977,high-rise  apartment  (building),29,五層/十二層,有,有,住家用,North District,1,1,1
140,4.5684,Apartment,34,五層/五層,無,無,住家用,North District,1,1,1
845,27.36939,high-rise  apartment  (building),28,"一層,二層,騎樓,夾層/十八層",有,有,住商用,North District,2,2,2
825,35.62,House,44,全/三層,無,無,住家用,North District,2,3,4
1080,22.97834,high-rise  apartment  (building),15,十層/十四層,有,有,住家用,North District,2,1,2
1088,22.098195,high-rise  apartment  (building),17,十層/十四層,有,有,住家用,North District,2,2,3
685,16.454247,high-rise  apartment  (building),26,十層/十四層,有,有,住家用,North District,1,1,2
860,37.88,House,49,全/三層,無,無,住家用,North District,2,3,4
710,18.387212,high-rise  apartment  (building),16,七層/十九層,有,有,住家用,North District,1,1,1
550,21.82992,Apartment,42,一層/五層,無,無,住商用,North District,2,1,2
800,35.22,House,44,全/三層,無,無,住商用,North District,3,4,7
1068,48.83,House,1,全/三層,無,無,住家用,North District,2,6,6
1265,17.923122,high-rise  apartment  (building),4,六層/二十四層,有,有,住家用,North District,2,2,2
1520,24.058377,high-rise  apartment  (building),1,二層/十三層,有,有,住家用,North District,2,2,3
270,23.42493,Apartment,41,五層/五層,無,無,住家用,North District,2,2,3
580,24.395525,high-rise  apartment  (building),25,九層/十四層,有,有,住家用,North District,2,2,3
1600,65.17,House,21,全/四層,無,無,住家用,North District,3,4,4
275,5.088648,high-rise  apartment  (building),17,十三層/十四層,有,有,住家用,North District,1,1,1
758,14.450832,high-rise  apartment  (building),8,十一層/二十四層,有,有,住家用,North District,1,1,2
710,14.029641,condominium,1,四層/四層,有,有,住家用,North District,2,1,2
668,12.530035,condominium,1,三層/四層,有,有,住家用,North District,2,1,2
825,20.313491,condominium,1,三層/四層,有,有,住家用,North District,2,1,2
760,18.349344,high-rise  apartment  (building),8,七層/二十四層,有,有,住家用,North District,1,1,2
3350,83.97,House,1,全/四層,無,無,住家用,North District,2,6,4
1050,26.285781,high-rise  apartment  (building),20,十一層/十一層,有,有,住家用,North District,2,2,3
840,20.313491,condominium,1,二層/四層,有,有,住家用,North District,2,1,2
1113,17.07462,condominium,1,五層/五層,有,有,住家用,North District,2,1,2
1980,63.95,House,18,全/四層,無,無,住家用,North District,2,4,5
610,25.35,House,45,全/二層,無,無,,North District,2,2,4
1080,31.48,House,23,全/四層,無,無,住家用,North District,2,3,4
1036,26.203352,condominium,20,九層/十層,有,有,住家用,North District,2,2,3
2890,116.53,House,33,全/五層,無,無,住商用,North District,2,3,6
600,15.113809,high-rise  apartment  (building),17,三層/十四層,有,有,住家用,North District,2,1,2
2222,32.05306,high-rise  apartment  (building),1,十層/十五層,有,有,住家用,North District,2,2,3
443,15.455335,high-rise  apartment  (building),29,十二層/二十五層,有,有,住家用,North District,2,1,2
1880,30.587744,high-rise  apartment  (building),4,十九層/二十四層,有,有,住家用,North District,2,2,3
1000,27.22,House,56,全/二層,無,無,住家用,North District,1,0,1
860,21.737328,condominium,1,三層/四層,有,有,住家用,North District,2,1,2
938,23.564442,condominium,1,四層/四層,有,有,住家用,North District,2,1,2
1288,44.14,House,35,全/二層,無,無,住家用,North District,2,3,4
750,14.450832,high-rise  apartment  (building),8,二十層/二十四層,有,有,住家用,North District,2,1,2
1708,26.331978,high-rise  apartment  (building),1,十層/十五層,有,有,住家用,North District,2,2,3
240,6.288381,high-rise  apartment  (building),28,二層/十八層,有,有,住家用,North District,1,1,1
330,18.068018,condominium,42,三層/七層,有,有,住家用,North District,2,1,3
380,9.61,House,1,全/一層,無,無,住家用,North District,1,2,2
390,23.865545,Apartment,40,五層/五層,無,無,住家用,North District,2,2,3
1130,30.6065,high-rise  apartment  (building),20,二層/十四層,有,有,住家用,North District,2,2,3
